BookAuthor,BookTitle,ISBN,Price,Publisher,YearOfPublication
Jude Deveraux,Awakening,0671644459,8,Pocket,1988
Jude Deveraux,Awakening,0671706799,9,Pocket,1990
Judi Barrett,Animals Should Definitely Not Wear Clothing,0689708076,10,Aladdin,1988
Judie Aitken,A Love Beyond Time (Time Passages Romance),0515127442,12,Jove Books,2000
Judie Aitkin,A Place Called Home (Seduction Romance (Paperback)),0515131806,11,Jove Books,2001
Judith A. Lansdowne,A Season of Virtues (Zebra Regency Romance),082176103X,8,Zebra Books,1999
Judith A. Lansdowne,Balmorrow's Bride (Zebra Regency Romance),0821759302,11,Kensington Pub Corp (Mm),1998
Judith Arnold,"All They Want for Christmas: Comfort and Joy / Merry Christmas, Baby",0373217250,10,Harlequin,2001
Judith Arnold,Blooming All Over (Mira),0778320596,13,Mira Books,2004
Judith Bauer Stamper,Autobot Alert! (Find Your Fate Junior),0345333888,10,Ballantine Books,1986
Judith Bauer Stamper,"Boom! Zoom! (Hello Reader!, Phonics Fun. Sci-Fi Phonics)",0590762648,9,Cartwheel Books (Scholastics),1997
Judith Bolander,"Best Of Yesterda (Harlequin Superromance, No 264)",0373702647,10,Harlequin,1987
Judith C. Lechman,After the Move,0745918131,13,Lion Publishing Corporation,1990
Judith Carmel-Arthur,Antoni Gaudi,1858687470,12,Carlton,2002
Judith Clarke,Al Capsella Takes a Vacation,0805026851,12,Henry Holt  Co,1993
JUDITH CONAWAY,"20,000 Leagues Under the Sea (Step Into Classics)",0394853334,12,Random House Books for Young Readers,1983
Judith Duncan,"All That Matters (Harlequin Superromance, No 251)",0373702515,12,Harlequin,1987
Judith Duncan,All That Matters (Western Lovers - Ranchin' Dads),0373885164,13,Harlequin,1987
Judith Duncan,"All That Matters (Western Lovers, 16)",0373301642,12,Harlequin,1998
Judith Duncan,"Better Than Before (Silhouette Intimate Moments, No 421)",0373074212,12,Silhouette,1992
Judith Duncan,"Beyond All Reason (Wide Open Spaces) (Silhouette Intimate Moments, No 536)",0373075367,12,Silhouette,1993
Judith E. Hughes,Betty and Rita Go to Paris,0811823709,10,Chronicle Books,1999
Judith E. Hughes,Betty and Rita: LA Dolce Vita,0811831981,11,Chronicle Books,2001
Judith Ferguson,A Little Chicago Cookbook (Littel Books Series),0811806456,11,Chronicle Books Llc,1994
Judith Freeman,A Desert of Pure Feeling,0679432906,9,Pantheon Books,1996
Judith Freeman,A Desert of Pure Feeling (Vintage Contemporaries),0679752714,8,Vintage Books USA,1997
Judith Gediman,Birthbond: Reunions Between Birthparents and Adoptees - What Happens After...,0882820729,8,New Horizon Press Publishers,1991
Judith Gould,A Moment in Time,0451206533,12,Signet Book,2002
Judith Gould,A Moment in Time,0525946071,10,Dutton Books,2001
Judith Hennessee,Betty Friedan: Her Life,0679432035,9,Random House Inc,1999
Judith Henry Wall,Blood Sisters,0451404149,13,New Amer Library,1994
Judith Henry Wall,Blood Sisters,0670841145,11,Penguin USA,1992
Judith Herbst,"Big Hand, Little Hand: Learn to Tell Time!",0764170201,8,Barrons Education Series Inc,1997
Judith Ivory,Beast,0380786443,11,Avon,1997
Judith Ivory,Black Silk (Avon Romance),0060098538,12,Avon,2002
Judith Kay,America Writes: Learning English Through American Short Stories,0312137931,12,Bedford/st Martins,1997
Judith Kelman,After the Fall,0515128325,13,Jove Books,2000
Judith Kerr,A Small Person Far Away,0006717047,10,HarperCollins Publishers,1993
Judith Kerr,Als Hitler das rosa Kaninchen stahl.,3473542008,11,Ravensburger Buchverlag,2003
Judith Kolberg,ADD-Friendly Ways to Organize Your Life,1583913580,11,Brunner-Routledge,2002
Judith Lansdowne,A Devilish Dilemma (Zebra Regency Romance),0821758268,9,Zebra Books,1998
Judith Lansdowne,Annabella's Diamond (Zebra Regency Romance),0821762281,9,Kensington Publishing Corporation,1999
Judith Lyons,Alaskan Nights,0373245475,9,Silhouette,2003
Judith Lyons,"Awakened By His Kiss (Silhouette Special Edition, 1296)",0373242964,11,Silhouette,1999
Judith Martindale,52 Simple Ways to Manage Your Money : A Weekly Journal & Workbook to Help You Take Real Control of Your Money,1583484566,10,iUniverse,1994
Judith McNaught,A Gift of Love,0671536613,9,Pocket,1996
Judith McNaught,A Gift of Love,0671536621,10,Pocket Books,1995
Judith McNaught,A Holiday Of Love,0671502522,12,Pocket,1994
Judith McNaught,A Kingdom of Dreams,0671637800,9,Pocket,1989
Judith McNaught,A Kingdom of Dreams,0671737619,10,Pocket,1991
Judith McNaught,A Kingdom of Dreams,0743474155,12,Pocket Books,2003
Judith McNaught,Almost Heaven,0671011332,9,Pocket,1997
Judith McNaught,Almost Heaven,0671679155,11,Pocket,1990
Judith McNaught,Almost Heaven,0671742558,10,Pocket,1991
Judith Mcwilliams,"Another Man'S Baby (Harlequin Desire, No 1095)",0373760957,13,Silhouette,1997
Judith Mcwilliams,"Anything'S Possible (Spellbound) (Silhouette Desire, No 911)",0373059116,10,Silhouette,1995
Judith Mcwilliams,"Betrayed (Northpoint) (Harlequin Historical, No 249)",0373288492,9,Harlequin,1994
Judith Mcwilliams,"Boss, The Beauty, And The Bargain (Harlequin Silhouette Desire, No 1122)",0373761228,13,Silhouette,1997
Judith Merkle Riley,A Vision of Light,0440205204,10,Dell Publishing Company,1990
Judith Merkle Riley,A Vision of Light,0440501091,8,Bantam Dell Pub Group,1989
Judith Michael,A Certain Smile,0449006816,12,Fawcett Books,2000
Judith Michael,A Certain Smile,0449224260,8,Ballantine Books,2000
Judith Michael,A Ruling Passion,0671648918,12,Simon  Schuster,1990
Judith Michael,A Ruling Passion,0671899589,9,Pocket,1994
Judith Michael,A Tangled Web,067153288X,12,Pocket,1995
Judith Michael,A Tangled Web: A Novel,0671798790,13,Simon  Schuster,1994
Judith Michael,Acts of Love,0517703246,9,Crown,1997
Judith Michael,Acts of Love,080411787X,8,Ivy Books,1997
Judith Michael,Acts of Love (Random House Large Print),0679774181,12,Random House Large Print,1997
Judith Minthorn Stacy,Betty Sweet Tells All,006018485X,12,Harpercollins,2002
Judith Minthorn Stacy,Betty Sweet Tells All,0060536152,13,Perennial,2003
Judith Morrison,Book Of Ayurveda,0684800179,12,Fireside,1995
Judith O'Brien,Ashton's Bride,0671871498,8,Pocket,1995
Judith Ortiz Cofer,An Island Like You: Stories of the Barrio,014038068X,10,Puffin Books,1996
Judith Pella,"A Hope Beyond (Ribbons of Steel, 2)",1556618638,9,Bethany House Publishers,1997
Judith Pella,"A Promise for Tomorrow (Ribbons of Steel, 3)",1556618646,11,Bethany House Publishers,1998
Judith Pella,Beloved Stranger,0764220403,13,Bethany House Publishers,1998
Judith Ph.D. Sills,A Fine Romance: The Psychology of Successful Courtship : Making It Work for You,087477456X,9,St Martins Pr,1987
Judith R. Hendricks,Bread Alone : A Novel,0060084405,9,Perennial,2002
Judith Reitman,Bad Blood: Crisis in the American Red Cross,0786005084,11,Pinnacle Books,1998
Judith Reitman,Bad Blood: Crisis in the American Red Cross,1575661152,12,Kensington Publishing Corporation,1996
Judith Reitman,Blood Legacy: True Crime,0451406516,9,Onyx Books,1996
Judith Ross,An almost perfect person: A comedy in two acts,0573605645,12,S. French,1978
Judith Rossner,Any Minute I Can Split,0671509756,9,Pocket Books,1986
Judith Rossner,Attachments,067122591X,10,Simon and Schuster,1977
Judith Rossner,Attachments,067152786X,9,Pocket,1984
Judith Rossner,August,0395339707,8,Houghton Mifflin,1983
Judith Rossner,August,0395860067,8,Mariner Books,1997
Judith Rossner,August,0446322563,10,Warner Books> C/o Little Br,1984
Judith Rossner,August,0446352241,12,Warner Books (Mm),1984
Judith Ryan Hendricks,Bread Alone,0060188952,10,William Morrow  Company,2001
Judith S. Seixas,"Allergies: What They Are, What They Do (Greenwillow Read-Alone Books.)",0688088775,8,Harpercollins,1991
Judith S. Wallerstein,"2nd Chances: Men, Women, and Children a Decade After Divorce",0899199496,9,Ticknor  Fields,1990
Judith Sherven,Be Loved for Who You Really Are : How the Differences Between Men and Women Can Be Turned into the Source of the Very Best Romance You'll Ever Know,1559276770,12,Audio Renaissance,2001
Judith Sherven,Be Loved for Who You Really Are: How the Differences Between Men and Women Can Be Turned into the Source of the Very Best Romance You'll Ever Know,1580632068,12,Renaissance Books,2001
Judith Sills,Biting the Apple: Women Getting Wise About Love,0670858463,10,Penguin USA,1996
Judith Stacey,Brave New Families: Stories of Domestic Upheaval in Late Twentieth Century America,046500752X,13,Perseus Books Group,1991
Judith Stacy,"Blushing Bride (Historical, 521)",0373291213,10,Harlequin,2000
Judith Stamper,101 Super Sports Jokes,0590414356,12,Scholastic Paperbacks (Mm),1988
Judith Steel,Angel's Kiss (Zebra Lovegram Historical Romance),0821746537,13,Kensington Publishing Corporation,1994
Judith Steel,Apache Heartbeat,0821726412,10,Kensington Pub Corp (Mm),1989
Judith Steel,Arizona Heat,0821739557,10,Kensington Pub Corp (Mm),1992
Judith Tarr,A Wind in Cairo,0553276093,10,Spectra Books,1989
Judith Tarr,Alamut,0385247206,13,Doubleday Books,1989
Judith Tarr,Alamut,0385264356,12,Bantam Dell Pub Group,1989
Judith Tarr,Arrows of the Sun,0812550609,12,Tor Books (Mm),1995
Judith Tarr,Arrows of the Sun (Avaryan Rising),0312852630,12,St Martins Pr,1993
Judith Tarr,Ars Magica,0553281453,12,Spectra Books,1989
Judith Tarr,Avaryan Rising,1568650698,10,Doubleday Books,1993
Judith Tarr,"Avaryan Rising : The Hall of the Mountain King, The Lady of Han-Gilen, A Fall of Princes (Avaryan Rising)",0312863888,8,Orb Books,1997
Judith Viorst,"Alexander And The Terrible, Horrible, No Good, Very Bad Day",0689300727,12,Atheneum,1972
Judith Viorst,"Alexander And The Terrible, Horrible, No Good, Very Bad Day",0689704283,13,Athenum,1976
Judith Viorst,"Alexander And The Terrible, Horrible, No Good, Very Bad Day",0689711735,11,Aladdin Library,1987
Judith Viorst,"Alexander y el dÃ­a terrible, horrible, espantoso, horroroso",0689713509,12,Aladdin,1989
Judith Viorst,"Alexander, Who Used to Be Rich Last Sunday",0689711999,10,Aladdin,1987
Judith Viorst,"Alexander, Who Used To Be Rich Last Sunday (Alexander Who Use Rich Last Sunday)",0689306024,9,Atheneum,1978
Judith White,Across the dreaming night,1869414128,11,Vintage/Random House New Zealand,2000
Judith Wills,6 Ways to Lose a Stone in 6 Weeks,0747276412,12,Headline,1999
"Judith, Ph.D. Sills",A Fine Romance: The Passage of Courtship from Meeting to Marriage,0345357280,10,Ballantine Books,1988
Judy Alter,A Ballad for Sallie,0843943653,12,Leisure Books,1998
Judy Alter,A Ballad for Sallie (A Doubleday D Western),0385420765,13,Bantam Dell Pub Group,1992
Judy Alter,"Beauty Pageants: Tiaras, Roses, and Runways (First Book)",0531202534,9,Franklin Watts,1997
Judy Astley,Away from It All,0552999512,9,Trafalgar Square,2003
Judy B. Rosener,America's Competitive Secret: Women Managers,0195119142,11,Oxford University Press,1997
Judy Baer,"A Special Kind of Love (Cedar River Daydreams, Book 21)",1556613679,8,Bethany House Publishers,1993
Judy Bastyra,A Gourmet's Guide to Fruit,0895868490,10,Berkley Pub Group,1990
Judy Blume,ARE YOU THERE GOD ITS ME MARGARET,0027109909,9,Atheneum/Richard Jackson Books,1982
Judy Blume,"Are You There God, It's Me Margaret",0807211389,11,Listening Library,1986
Judy Blume,Ballena Blubber,0878882197,10,Simon  Schuster,1983
Judy Blume,Blubber,0440907071,8,Laurel-Leaf Books,1978
Judy Blume,Blubber (Yearling Books (Paperback)),0440407079,8,Yearling,1976
JUDY BLUNT,Breaking Clean,0375401318,13,Knopf,2002
JUDY BLUNT,Breaking Clean,0375701303,9,Vintage Books USA,2003
Judy Chapman,Aromatherapy: Recipes for Your Oil Burner,0732259142,11,Gryphon House,1998
Judy Chapman,Back in My Heart,0821758748,12,Kensington Publishing Corporation,1998
Judy Christenberry,A Colton Family Christmas,037348478X,10,Silhouette,2002
Judy Christenberry,"A Cowboy at Heart (Harlequin American Romance, No. 726)",0373167261,9,Harlequin,1998
Judy Christenberry,"A Randall Returns   Brides For Brothers (Harlequin American Romance, 1000)",0373750048,8,Harlequin,2003
Judy Christenberry,"Baby 2000 (Delivery Room Dads) (Harlequin American Romance, 802)",0373168020,10,Harlequin,1999
Judy Christenberry,Baby Game (By Request 2'S) (By Request 2's),0373217137,8,Harlequin,2000
Judy Christenberry,"Baby In Her Arms  (Lucky Charm Sisters) (Silhouette Romance, 1350)",0373193505,11,Silhouette,1999
Judy Christenberry,"Beauty & The Beastly Rancher   From The Circle K (Silhouette Romance, 1678)",0373196784,9,Silhouette,2003
Judy Christenberry,"Borrowed Groom (The Circle K Sisters) (Silhouette Romance, 1457)",0373194579,12,Silhouette,2000
Judy Collins,Almost Perfect Proposal (Your Truly),0373520417,12,Silhouette,1997
Judy Collins,"Baby Magic (Silhouette Intimate Moments, 452)",0373074522,10,Silhouette,1992
Judy Collins,"Baby Makes Three (Silhouette Intimate Moments, No 747)",0373077475,8,Silhouette,1996
Judy Collins,BITCH,0671507923,9,Pocket,1984
Judy Collins,BITCH,0671624849,12,Pocket,1986
Judy Collins,BITCH,0671704583,12,Pocket,1987
Judy Cuevas,Black Silk,0515106097,12,Jove Books,1991
Judy Delton,A Pee Wee Christmas (Pee Wee Scouts (Paperback)),0440400678,10,Yearling Books,1988
Judy Delton,"Bad, Bad Bunnies (Pee Wee Scouts (Paperback))",0440402786,10,Yearling Books,1990
Judy Delton,"Blue Skies, French Fries (Pee Wee Scouts (Paperback))",0440400643,11,Yearling Books,1988
Judy Di Cano,"Beloved Warrior (Perfect Heroes Series, 4)",0505523256,10,Love Spell,1999
Judy Duarte,Almost Perfect,0373245408,9,Silhouette,2003
Judy Duarte,"Big Sky Baby : Montana Mavericks (Silhouette Special Edition, 1563)",0373245637,9,Silhouette,2003
Judy Duarte,"Bluegrass Baby (Silhouette Special Edition, 1598)",037324598X,12,Silhouette,2004
Judy Ford,Between Mother & Daughter: A Teenager and Her Mom Share the Secrets of a Strong Relationship,1573241644,12,Conari Press,1999
Judy Grahn,Another Mother Tongue Gay Words,0807067172,9,Houghton Mifflin Co,1985
Judy Grahn,"Another Mother Tongue: Gay Words, Gay Worlds",0807079111,11,Beacon Press,1990
Judy Hopkins,Around the Block Again: More Rotary-Cut Blocks from Judy Hopkins (That Patchwork Place),1564772659,11,Martingale and Company,2000
Judy Jones,An Incomplete Education,0345391373,8,Ballantine Books,1995
Judy Katschke,A Touch of Magic: A Spin-Around Book (Spin-Around Book),0736421130,12,Disney Press,2003
Judy Kaye,"Ariana'S Magic (Harlequin Romance, No 3182)",0373031823,8,Harlequin,1992
Judy Krizmanic,A Teen's Guide to Going Vegetarian,0140365893,11,Puffin Books,1994
Judy LaMarsh,A right honourable lady: A novel,0771046243,9,McClelland and Stewart,1980
Judy LaMarsh,A very political lady: A novel,0771046227,11,McClelland and Stewart,1979
Judy Martin,A Modern Book of Hours,0821217518,8,Little Brown  Co,1994
Judy Mastrangelo,Antique Fairy Tales (Little Unicorn),0881010812,11,Unicorn Pub House,1988
Judy Mazel,Beverly/Diet,0425052990,9,Berkley Publishing Group,1982
Judy Mazel,Beverly/Diet,0425054705,8,Berkley Publishing Group,1982
Judy McCoy Carman,Born to Be Blessed: Seven Keys to Joyful Living,1585010057,12,Ce Shore Publishing Company,1999
Judy Mercer,Blind Spot,0671034243,13,Atria,2000
Judy Mercer,Blind Spot,0671034251,11,Pocket,2001
Judy Nayer,Birds at Your Fingertips (At Your Fingertips III),1562935453,11,Learning Horizons,1995
Judy Newman,"Beautiful Boxes to Create, Cover and Decorate (Milner Craft Series)",1863510087,10,Sterling Pub Co Inc,1992
Judy Reeves,A Writer's Book of Days: A Spirited Companion and Lively Muse for the Writing Life,1577311000,11,New World Library,1999
Judy Reiser,"And I Thought I Was Crazy! Quirks, Idiosyncrasies and Meshugaas",0970761902,8,Katalin Media,2001
Judy Sheindlin,"Beauty Fades, Dumb Is Forever: The Making of a Happy Woman",0060192704,10,Cliff Street Books,1999
Judy Sheindlin,"Beauty Fades, Dumb Is Forever: The Making of a Happy Woman",006092991X,11,Perennial,2000
Judy Sierra,Antarctic Antics: A Book of Penguin Poems,0152010068,10,Gulliver Books,1998
Judy Sierra,Antarctic Antics: A Book of Penguin Poems,0439056365,13,Scholastic Inc.,1998
Judy Taylor,"Beatrix Potter: Artist, Stroyteller and Countrywoman",0723241759,13,Frederick Warne and Company Inc,1997
Judythe Coffman,A New Owner's Guide to Weimaraners (New Owner's Guide To...),0793828058,12,TFH Publications,1999
Jule McBride,"AKA: Marriage (Harlequin American Romance, No. 733)",0373167334,8,Harlequin,1998
Jule McBride,"All Tucked In... (Harlequin Blaze, 91)",0373790953,9,Harlequin,2003
Jule McBride,"Baby Maker (More Than Men) (Harlequin American Romance, No 599)",0373165994,12,Harlequin,1995
Jule McBride,"Baby Romeo: P I (Accidental Dads) (Harlequin American Romance, No 636)",0373166362,11,Harlequin,1996
Jule McBride,"Baby Romeo: P.I. by Jule McBride, (Dangerous To Love 11, paperback)",0373823096,10,Harlequin Books,1996
Jules Feiffer,"A Barrel  of Laughs, a Vale of Tears",0062050982,8,HarperCollins Publishers,1995
Jules Feiffer,A Barrel of Laughs: A Vale of Tears,0062059262,10,HarperCollins Publishers,1998
Jules Feiffer,ACKROYD,0671225022,11,Simon  Schuster,1977
Jules Hardy,Altered Land,0743221435,13,Simon  Schuster (Trade Division),2001
Jules Hardy,Altered Land,0743429044,9,Simon  Schuster (Trade Division),2002
Jules Hardy,Altered Land,0743462408,10,Simon  Schuster (Trade Division),2002
Jules M. Seletz,"Abraham, Isaac, and Jacob (Pass in Review, 1)",0877142440,13,Denlingers Pub Ltd,2001
Jules Tygiel,Baseball's Great Experiment: Jackie Robinson and His Legacy,0195078268,13,Oxford University Press,1993
Jules Tygiel,Baseball's Great Experiment: Jackie Robinson and His Legacy,039472593X,10,Vintage Books USA,1984
Jules Verne, Twenty Thousand Leagues Under the Sea (Illustrated Classics),0942025857,11,Kidsbooks.Com,1990
Jules Verne,"20,000 Leagues Under the Sea",0451524535,11,Signet Classics,1993
Jules Verne,"20,000 Leagues Under the Sea",0553211889,13,Bantam Books,1982
Jules Verne,"20,000 Leagues Under the Sea",0812550927,10,Tor Books,1995
Jules Verne,"20,000 Leagues Under the Sea (American Short Stories)",0811468461,10,Steck-Vaughn Co,1991
Jules Verne,"20,000 Leagues Under the Sea (Bantam Classics)",0553212524,13,Bantam,1985
Jules Verne,"20,000 Leagues Under the Sea (Great Illustrated Classics)",157765806X,8,Abdo  Daughters Publishing,2002
Jules Verne,"20,000 Leagues Under the Sea (Scholastic Classics)",0439227151,12,Scholastic Paperbacks,2003
Jules Verne,"20,000 Leagues Under the Sea (Treasury of Illustrated Classics)",0766607135,8,Modern Publishing,2001
Jules Verne,"20,000 Leagues Under the Sea (Wordsworth Collection)",1853260312,12,NTC/Contemporary Publishing Company,1998
Jules Verne,"20,000 Leagues Under the Sea / By Jules",0451518497,10,Signet Book,1982
Jules Verne,"20,000 Leagues Under the Sea: The Young Collector's Illustrated Classics/Ages 8-12",1561563072,12,Kidsbooks.Com,1995
Jules Verne,"20,000 Leagues Under the Seas",0881010855,11,Unicorn Pub House,1989
Jules Verne,20000 Leagues Under the Sea,0590451790,8,Scholastic Paperbacks (Mm),1992
Jules Verne,20000 lieues sous les mers,2013217854,10,Hachette Jeunesse,2000
Jules Verne,A Journey to the Center of the Earth,0451519825,12,New Amer Library,1986
Jules Verne,A Journey to the Center of the Earth,0451524500,9,Signet Classics,1995
Jules Verne,A Journey to the Center of the Earth,0812504712,11,Tor Books,1992
Jules Verne,A Journey to the Center of the Earth (Great Illustrated Classics),0866119604,12,Playmore Inc. Publishers,1990
Jules Verne,A journey to the center of the earth (World's best reading),089577402X,10,Reader's Digest Association,1992
Jules Verne,A Tour of the Moon,1410100324,12,Fredonia Books (NL),2002
Jules Verne,Alien Voices Presents:  Journey to the Center of the Earth,0671575554,9,Simon  Schuster Audio,1997
Jules Verne,"Arena Bibliothek der Abenteuer, Bd.50, Reise um die Erde in 80 Tagen",3401002503,8,Arena,1999
Jules Verne,Around the World in 80 Days,0893756083,10,Troll Communications,1981
Jules Verne,Around the World in 80 Days (Children's Classics),1858135818,9,Parragon Publishing,1996
Jules Verne,Around the World in 80 Days (Great Illustrated Classics),0866119523,8,Playmore Inc. Publishers,1989
Jules Verne,Around the World in 80 Days (Penguin Classics),014044906X,11,Penguin Books,2004
Jules Verne,Around the World in 80 Days (Puffin Classics),014036711X,9,Puffin Books,2004
Jules Verne,Around the World in 80 Days (The World's Best Reading),0895772949,11,Putnam Pub Group,1988
Jules Verne,Around the World in 80 Days: Classic Story Books,0831716452,9,Smithmark Publishers,1994
Jules Verne,Around the World in Eighty Days,0553213563,11,Bantam Books,1984
Jules Verne,Around the World in Eighty Days (Bantam Classic),0553211455,9,Bantam,1984
Jules Verne,Around the World in Eighty Days (Books of Wonder),0688075088,13,Harpercollins,1988
Jules Verne,Around the World in Eighty Days (Derrydale Children's Library),0517141418,13,Gramercy Books,1995
Jules Verne,Around the World in Eighty Days (Dover Thrift Editions),0486411117,8,Dover Publications,2000
Jules Verne,Around the World in Eighty Days (Ladybird Children's Classics),0721407218,9,Penguin U S A,1982
Jules Verne,"Around the World in Eighty Days (Lake Illustrated Classics, Collection 3)",156103519X,10,American Guidance Service,1994
Jules Verne,Around the World in Eighty Days (Puffin Classics),0140351140,10,Penguin USA,1990
Jules Verne,Around the World in Eighty Days (Puffin Classics),0140867341,10,Penguin Children's Audiobooks,1998
Jules Verne,Around the World in Eighty Days (Signet Classic),0451525450,11,Signet Classics,1991
Jules Verne,Around the World in Eighty Days (Tor Classics),0812504305,13,Tor Books,1990
Jules Verne,Around the World in Eighty Days: 5 Weeks in a Balloon (Wordsworth Classics),1853260908,10,NTC/Contemporary Publishing Company,1997
Jules Verne,Around the World in Eighty Days: The Extraordinary Journeys (Oxford World's Classics (Paperback)),0192837788,9,Oxford University Press,1999
Jules Verne,"Around the World In Eighty Days; From the Earth to the Moon; 20,000 Leagues Under the Sea",0706407849,11,Octopus Books,1978
Juli Zeh,Adler und Engel.,3442729262,12,Btb Bei Goldmann,2003
Julia Alvarez,!Yo!,0452279186,9,Plume Books,1997
Julia Alvarez,A Cafecito Story,1931498008,10,Chelsea Green Publishing Company,2001
Julia Alvarez,A Cafecito Story: El Cuento Del Cafecito,1931498067,11,Chelsea Green Publishing Company,2002
Julia Alvarez,Before We Were Free (Pura Belpre Medal Book Narrative (Awards)),0375815449,9,Knopf Books for Young Readers,2002
Julia Alvarez,Before We Were Free (Readers Circle),044023784X,11,Laurel Leaf,2004
Julia Blackburn,Book of Color (Vintage International (Paperback)),0679758372,10,Vintage Books USA,1996
Julia Cameron,Artist's Way,0874778522,10,Jeremy P. Tarcher,1997
Julia Cameron,Blessings: Prayers and Declarations for a Heartful Life,0874779065,11,Putnam Publishing Group,1998
Julia Donaldson,A Squash and a Squeeze,0749717785,12,Egmont Childrens Books,1994
Julia Fenton,Black Tie Only,0515105902,12,Jove Books,1991
Julia Fenton,Black Tie Only: A Novel,0809243083,13,McGraw-Hill/Contemporary,1990
Julia Fenton,Blue Orchids,0515108758,12,Jove Books,1992
Julia Franck,Bauchlandung. Geschichten zum Anfassen.,3423129727,11,Dtv,2002
Julia Franck,Bauchlandung: Geschichten zum Anfassen,3770153650,10,DuMont,2000
Julia Gray,"Alyssa's Ring: The Guardian Cycle, Book 5",1841491462,10,Orbit Book Co.,2003
Julia Griggs Havey,"Awaken the Diet Within: From Overweight to Looking Great-If I Can Do It, So Can You",0446530166,10,Warner Books,2003
Julia Howard,A Lasting Image,0440147239,11,Dell Publishing,1983
Julia Howard,A Passionate Venture,0440160766,8,Dell Publishing,1983
Julia Lawless,Aromatherapy and the Mind,0722529279,13,Natl Book Network,1995
Julia London,Beauty Queen (Berkley Sensation),0425195244,11,Berkley Publishing Group,2004
Julia Malloy,Better Homes and Gardens Microwave Plus,0696008505,12,Meredith Books,1983
Julia Markus,A Change of Luck,0670814148,12,Penguin USA,1991
Julia Parker,Aquarius: January 21-February 18,1564580946,9,Dorling Kindersley Publishing,1996
Julia Parks,A Gift for a Rogue (Zebra Regency Romance),0821773232,8,Kensington Publishing Corporation,2002
Julia Reinhard Lupton,After Oedipus: Shakespeare in Psychoanalysis,080149687X,8,Cornell University Press,1993
Julia Spencer-Fleming,A Fountain Filled With Blood (A Rev. Clare Ferguson Mystery),0312995431,11,St. Martin's Paperbacks,2004
Julia Spencer-Fleming,A Fountain Filled with Blood: A Mystery,0312304102,12,St. Martin's Minotaur,2003
Julia Szabo,Animal House Style: Designing a Home to Share with Your Pets,0821227556,12,Bulfinch,2001
Julia Wallis Martin,A Likeness In Stone,0312970773,11,St. Martin's Paperbacks,1999
Julia Wallis Martin,Auf Gedeih und Verderb.,3453206606,12,Heyne,2002
Julia Wallis Martin,Bird Yard,0312971389,9,St. Martin's Paperbacks,2001
Julia Watson,American Pie,0553406469,10,Bantam,1995
Julia Whitty,A Tortoise for the Queen of Tonga: Stories,0618119809,8,Mariner Books,2002
Julian,All Will Be Well: Based on the Classic Spirituality of Julian of Norwich : 30 Days With a Great Spiritual Teacher (30 Days with a Great Spiritual Teacher),0877935637,11,Ave Maria Press,1995
Julian Barnes,A History of the World in 10 1/2 Chapters (Vintage International),0679731377,9,Vintage Books USA,1990
Julian Barnes,A History of the World in 10-1/2 Chapters,0394580613,9,Random House Inc,1989
Julian Bell,500 Self-Portraits,0714839590,12,Phaidon Press,2000
Julian Bowsher,Biblical Sites (Digging Up the Past),0750215771,12,Hodder Children's Books,1996
Julian F. Thompson,Band of Angels,0590405454,12,Scholastic,1987
Julian Gloag,A Woman of Character,0394483405,13,Random House Inc,1973
Julian Gloag,Blood for Blood,0030060125,9,Henry Holt  Co,1985
Julian Madigan,Agony of Ecstasy,1853716820,10,Lilliput Press,1996
Julian May,Black Trillium,0246137177,10,HarperCollins Publishers,1991
Julian May,Black Trillium,0246137339,10,HarperCollins Publishers,1991
Julian May,Blood Trillium,0553088513,12,Bantam Dell Pub Group,1992
Julian May,Blood Trillium,0553561987,11,Bantam,1993
Julian Mitchell,Another country,0906399319,10,Amber Lane Press,1982
Julian R. Thompson,A Band of Angels,0590431242,12,Scholastic Paperbacks (Mm),1989
Julian Rathbone,A Spy of the Old School,0394722760,10,Random House Inc,1984
Julian Rathbone,A Very English Agent,0349115087,10,Abacus (UK),2003
Julian Rathbone,Accidents Will Happen (Mask Noir),1852423129,11,Serpent's Tail,1997
JULIAN SHER,"\Until You Are Dead\"" : Steven Truscott's Long Ride into History""",0676973817,10,Vintage Canada,2002
"Julian Stuart, Md. Haber",ADHD: The Great Misdiagnosis,0878331816,12,Taylor Trade Publishing,2000
Julian Symons,A Criminal Comedy (Penguin Crime Mystery),0140096213,10,Select Penguin,1990
Julian. Barnes,Before She Met Me,0679736093,11,Vintage Books USA,1992
Julianna Morris,"A Date With A Billionaire (Silhouette Romance, No. 1590)",0373195907,9,Silhouette,2002
Julianne Maclean,Adam's Promise,0373292538,12,Harlequin,2003
Julianne Maclean,"Affair Most Wicked, An",0060527056,11,Avon,2004
Julie  Tilsner,29 and Counting : A Chick's Guide to Turning 30,0809229374,11,McGraw-Hill/Contemporary Books,1998
Julie A. Hyzy,Artistic License,1594141126,11,Five Star (ME),2004
Julie Adair King,Adobe PhotoDeluxe for Dummies,0764504266,10,John Wiley  Sons,1998
Julie Aigner-Clark,Baby Einstein: Bard's Rhyme Time (Baby Einstein),078680842X,11,Baby Einstein Company,2002
Julie Aigner-Clark,Baby Einstein: Birds (Baby Einstein),0786808373,13,Baby Einstein Company,2002
Julie Aigner-Clark,Baby Einstein: Jane's Animal Expedition (Baby Einstein),0786808411,12,Baby Einstein Company,2002
