Book-Author,Book-Title,ISBN,Price,Publisher,Year-Of-Publication
Heather Graham Pozzessere,Between A Roc And A Hard Place (American Hero),0373074999,13,Silhouette,1993
Heather Graham Pozzessere,"Borrowed Angel (Silhouette Intimate Moments, No 293)",0373072937,11,Silhouette,1989
Heather Graves,Beyond the Purple Hills,0749903333,11,Judy Piatkus Publishers Ltd,1996
Heather Luke,Bedrooms and Bathrooms (Soft Furnishing Series),1859603173,8,Haynes Publishing,1998
Heather Macallister,After Darke,0373612532,11,Harlequin,2002
Heather Macallister,"Bedded Bliss (The Wrong Bed) (Harlequin Temptation, No 583)",0373256833,8,Harlequin,1996
Heather Macallister,Blaze (One Shot),0263818594,9,Harlequin Mills  Boon Ltd,1999
Heather Macallister,"Boss And The Plain Jayne Bride (Harlequin Romance, 3555)",0373035551,12,Harlequin,1999
Heather Mills McCartney,A Single Step,0446531650,12,Warner Books,2002
Heather Parkinson,Across Open Ground: A Novel,1582342431,11,Bloomsbury Publishing PLC,2002
Heather Quarles,A Door Near Here,0385325959,9,Delacorte Press,1998
Heather Quarles,A Door Near Here,0440227615,10,Laurel-Leaf Books,2000
Heather Tyler,Asylum: Voices Behind the Razor Wire,0734405367,11,Vanwell Publishing,2003
Heather Webber,A Hoe Lot of Trouble : A Nina Quinn Mystery (Nina Quinn Mysteries),0060723475,10,Avon,2004
Heather Wood,101 Marvelous Money-Making Ideas For Kids,0812520602,12,Tor Books,1995
Hebby Roman,Border Heat: Pasion En LA Frontera (Encanto (English)),0786010584,13,Kensington Publishing Corporation,2000
Hedui Levine,Brand Name Light and Natural Cookbook Healthy,1551859009,11,Magnanimity House,2001
Heidi Betts,A Promise of Roses (Leisure Historical Romance),0843947381,13,Leisure Books,2000
Heidi Betts,Almost a Lady,0843948175,10,Leisure Books,2001
Heidi Hartwiger,"A Gift of Herbs to Make Easy, Inexpensive & Thoughtful Gifts Using Herbs",1878086235,9,Down Home Press,1993
HEIDI KILGRAS,Barbie: A Dress-Up Day (Step Into Reading. Step 1),0375825010,9,Random House Books for Young Readers,2003
Heidi Priesnitz,A Darker Light,1550024590,12,Dundurn Group,2003
Heidi S. Swinton,American Prophet: The Story of Joseph Smith,1573455431,9,Deseret Book Company,1999
Heike Drechsler,Absprung. Autobiographie.,3328009337,9,Sportverlag,2001
Heini Gruffudd,Beginners Welsh (Beginner's (Foreign Language)),0781805899,11,Hippocrene Books,1998
Heinlein A.,Between Planets,0345260708,10,Not Avail,1978
Heinrich BÃ¶ll,Absent without leave: Two novellas,0070064261,9,McGraw-Hill,1975
Heinrich BÃ¶ll,And Never Said a Word,0070064288,12,McGraw-Hill,1978
Heinrich Boll,Adam and the Train: Two Novels,0070064091,10,McGraw-Hill,1974
Heinrich Boll,And Never Said a Word,0070064210,10,McGraw-Hill Companies,1979
Heinrich Boll,Billiards at Half-Past Nine,0380002809,8,Harper Mass Market Paperbacks (Mm),1983
Heinrich Boll,Billiards at Half-Past Nine (Penguin Twentieth-Century Classics),0140187243,8,Penguin Books,1994
Heinrich Dorrie,100 Great Problems of Elementary Mathematics: Their History and Solution,0486613488,8,Dover Publications,1965
Heinrich Ulrich Seidel,Aufbruch und Erinnerung: Der Freideutsche Kreis als Generationseinheit im 20. Jahrhundert (Edition Archiv der Deutschen Jugendbewegung),3885510146,10,Archiv der Deutschen Jugendbewegung,1996
Heinz G Konsalik,Agenten kennen kein Pardon: Roman (Heyne-BÃ¼cher ; Nr. 999),3453003209,12,Heyne,1974
Heinz G Konsalik,Alarm! das Weiberschiff: Roman (Heyne-Buch ; Nr. 5231),3453005856,12,Heyne,1976
Helen A. Derosis,Book of Hope,0553202200,11,Bantam Books,1977
Helen A. Derosis,Book of Hope,0553240641,9,Bantam Books,1983
Helen Alfredsson,A Good Swing Is Hard to Find: How Women Can Play the Power Game,0385488211,13,Bantam Dell Pub Group,1998
Helen Argers,A Captain's Lady (Regency Romance),1557736189,10,Diamond Books (NY),1991
Helen Argers,An Unlikely Lady (A Regency Romance),1557738165,11,Diamond Books (NY),1992
Helen Benedict,Bad Angel,0452275865,9,Penguin USA,1997
Helen Bianchin,A Passionate Surrender,0373122799,10,Harlequin,2002
Helen Bianchin,Bewildered Haven,0373020104,11,Harlequin,1976
Helen Bianchin,"Bitter Encore (Harlequin Presents, No 839)",0373108397,9,Harlequin,1985
Helen Brooks,A WHIRLWIND MARRIAGE (Harlequin Presents),0373122373,9,Harlequin,2002
Helen Cavanagh,Angel,0590322842,9,Scholastic,1984
Helen Chappell,A Whole World of Trouble: A Novel,074321529X,12,Simon  Schuster,2003
Helen Chappell,All Things in Their Season,0440100577,11,Dell Publishing,1983
Helen Cowcher,Antarctica (Sunburst Book),0374403716,12,Farrar Straus Giroux,1991
Helen Craig,A Day at the Fair (Angelina Ballerina),1584856432,9,Pleasant Company Publications,2002
Helen Craig,Angelina in the Wings (Angelina Ballerina),1584856424,10,Pleasant Company Publications,2002
Helen Creighton,Bluenose Ghosts,1551090848,9,Down East Books,1994
Helen Cresswell,"Absolute Zero (Cresswell, Helen. Bagthorpe Saga (New York, N.Y.), 2nd Pt.)",0027255506,13,MacMillan Publishing Company.,1978
Helen Cresswell,Bagthorpes Besieged (The Bagthorpe Saga),057117423X,9,Faber and Faber Ltd,1996
Helen Cresswell,"Bagthorpes Haunted: Being the 6th Part of the Bagthorpe Saga (Cresswell, Helen. Bagthorpe Saga (New York, N.Y.), 6th Pt.)",0027253805,10,Simon  Schuster,1985
Helen Cresswell,"Bagthorpes Unlimited (Cresswell, Helen. Bagthorpe Saga (New York, N.Y.), 3rd Pt.)",0027254305,10,MacMillan Publishing Company.,1978
Helen Davies,Beginner's French Dictionary (Beginner's Language Dictionaries Series),0746000162,8,E.D.C. Publishing,1989
Helen Dunmore,A Spell of Winter: A Novel,0802138764,9,Grove Press,2001
Helen E. Fisher,"Anatomy of Love: The Natural History of Monogamy, Adultery, and Divorce",0393034232,9,W W Norton  Co Inc,1992
Helen Exley,A Megabyte of Computer Jokes,1850156239,10,Exley Giftbooks,1997
Helen Exley,A Special Collection in Praise of Mothers,1861871791,11,Exley Giftbooks,2000
Helen Exley,A Token of Love (Assorted Love Themes),1850156441,9,Exley Giftbooks,1997
Helen Exley,Be What You Believe in (Values for Living),1861873069,13,Exley Giftbooks,2002
Helen Exley,Birds: A Celebration in Words and Paintings (Celebrations),185015449X,10,Exley Giftbooks,1997
Helen Exley,Book Lovers Quotations,1850152683,11,Exley Giftbooks,1997
Helen Fisher,"Anatomy of Love: A Natural History of Mating, Marriage, and Why We Stray",0449908976,13,Ballantine Books,1995
Helen Fogwell Porter,A Long and Lonely Ride,1550810111,8,Consortium Book Sales  Distribution,1991
Helen Fremont,After Long Silence: A Memoir,0385333692,13,Bantam Dell Pub Group,1999
Helen Fremont,After Long Silence: A Memoir,0385333706,12,Delta,2000
Helen Gilhooly,Beginner's Japanese (Teach Yourself: Beginner's),034064415X,12,Hodder Arnold Teach Yourself,1996
Helen H. Moore,A Friend for All Seasons,0880880848,12,Peter Pauper Press,1998
Helen Hayes,A Gathering of Hope,0800607058,11,Augsburg Fortress Pub,1983
Helen Hayes,A Gathering of Hope,0802724671,12,Walker  Company,1985
Helen Holnick,Archery: Instruction Manual,0840384025,9,Kendall/Hunt Publishing Company,1993
Helen Hooven Santmyer,...And Ladies of the Club,0425174409,12,Berkley Publishing Group,2000
Helen Hooven Santmyer,And Ladies of the Club,0425077047,9,Penguin Putnam~mass,1985
Helen Hooven Santmyer,And Ladies of the Club,0425102432,10,Berkley Publishing Group,1987
Helen Hoover,A Place in the Woods (Fesler-Lampert Minnesota Heritage Book Series),0816631298,9,University of Minnesota Press,1999
Helen Hoover Santmyer,And Ladies of the Club,0399129650,9,Putnam Pub Group,1984
Helen Humphreys,Afterimage : A Novel,0312420641,12,Picador,2002
Helen Humphreys,Afterimage: A Novel,0805066667,11,Metropolitan Books,2001
Helen Kirkman,"A Moment's Madness (Harlequin Historical, No. 669)",0373292694,10,Harlequin,2003
Helen Kooiman Hosier,100 Christian Women Who Changed the Twentieth Century,0800757289,10,Revell,2000
Helen Lefkowitz Horowitz,Alma Mater: Design and Experience in the Women's Colleges from Their Nineteenth-Century Beginnings to the 1930s,0870238698,12,University of Massachusetts Press,1993
Helen Lester,A Porcupine Named Fluffy,0395368952,12,Houghton Mifflin/Walter Lorraine Books,1986
Helen Levi,A small informal dance,0919866212,10,Queenston House,1977
Helen Lowrie Marshall,A gift so rare;: More inspirational verses,0875290108,9,Hallmark Editions,1969
Helen MacInnes,Above Suspicion,0151027072,10,Harcourt,1989
Helen MacInnes,Above Suspicion,0449208583,11,Fawcett Books,1988
Helen MacInnes,Agent In Place,0151039674,12,Harcourt,1976
Helen MacInnes,Agent In Place,0449208591,10,Fawcett Books,1990
Helen MacInnes,Agent In Place,0449231275,12,Ballantine Books,1981
Helen MacInnes,Assignment in Brittany,0449210650,9,Fawcett Books,1986
Helen MacInnes,Assignment in Brittany,0449229580,12,Not Avail,1981
Helen McCloy,A question of time (A Red badge novel of suspense),0816160007,11,G. K. Hall,1971
Helen Mittermeyer,"A Moment in Time (Loveswept, No 489)",0553441531,11,Loveswept,1991
Helen Mittermeyer,Black Frost (Loveswept),0553440306,10,Bantam,1990
Helen Moss,Big Bend (Big Bend),0912627158,11,National Park Service Division of Publication,1983
Helen Oxenbury,A Bit of Dancing (First Picture Books),0744537231,9,Walker Books,1995
Helen Oxenbury,All Fall Down (Big Board Books),0744507243,11,Walker Books,1987
Helen R. Myers,A Fine Arrangement (Family Continuity Program Series Number 5),0373821530,9,Harlequin Sales Corp (Mm),1999
Helen Razer,3 beers and a Chinese meal,0091830729,11,Random House Australia,1995
Helen S. Vandervort,A Vintage Year,1591292700,11,Publishamerica,2002
Helen Sanderson,Aromatherapy and Massage for People with Learning Difficulties,0951817205,12,Hands On Publishing,1991
Helen Sandler,Big Deal (Sapphire),0352333650,8,Buccaneer Books Inc,1999
Helen Shelton,"A Surgeon for Susan (Harlequin Romance, No. 437)",0373174373,9,Harlequin Books,1999
Helen Siiteri,Adventures of Nicholas,0590080008,11,Scholastic,1960
Helen Steiner Rice,A Book of Blessings,0800717147,9,Fleming H. Revell Company,1995
Helen Steiner Rice,A Book of Courage (Book of... Series),0800717317,9,Fleming H. Revell Company,1996
Helen Steiner Rice,A Book of Hope,0800717228,10,Fleming H. Revell Company,1996
Helen Steiner Rice,A Book of Thanks,0800716957,12,Fleming H. Revell Company,1993
Helen Steiner Rice,A Time to Love,0800714962,12,Baker Pub Group,1986
Helen Steiner Rice,Blossoms of Friendship,0800716647,9,Fleming H. Revell Company,1992
Helen Steiner Rice,Book of Prayer,0800717074,8,Fleming H. Revell Company,1995
Helen Tanner,"Atlas of Great Lakes Indian History (Civilization of the American Indian, Vol 174)",0806120568,9,University of Oklahoma Press,1987
Helen Turner,A Fragile Respectability,0921054998,10,Down East Books,1992
Helen Valentine,Better Than Beauty: A Guide to Charm,0811834514,9,Chronicle Books,2002
Helen Van Wyk,Acrylic portrait painting,0823000753,13,Watson-Guptill,1970
Helen Weinzweig,A View from the Roof: Stories,0864921101,12,Goose Lane Editions,1989
Helen Wolfe,A Woman's Agenda 2003: Celebrating Movers and Shakers,1896764541,12,Second Story Press,2002
Helen Zenna Smith,"\Not So Quiet\"": Stepdaughters of War""",093531282X,10,Feminist Press,1989
Helen Zia,Asian American Dreams: The Emergence of an American People,0374147744,13,Farrar Straus Giroux,2000
Helena Goscilo,Balancing Acts: Contemporary Stories,0440208491,12,Dell Publishing Company,1991
Helena Norberg-Hodge,Ancient Futures: Learning from Ladakh,0871566435,11,Sierra Club Books,1992
Helena Wilkinson,"Beyond Chaotic Eating: A Way Out of Anorexia, Bulimia, and Compulsive Eating",0551027509,12,Zondervan,1993
Helene Hanff,84 Charing Cross Road,0140143505,9,Penguin Books,1990
Helene Hanff,84 Charing Cross Road,0380001225,9,Avon Books,1987
Helene Hanff,"84, Charing Cross Road",1559210540,10,Moyer Bell Ltd.,1991
Helene Hanff,"84, Charing Cross Road",1559211407,12,Moyer Bell Ltd.,1995
Helene Hanff,"84, Charing Cross Road. Eine Freundschaft in Briefen.",3455026508,13,Hoffmann  Campe,2002
Helene Hanff,Apple of My Eye,0233969349,11,A. Deutsch,1977
Helene Hanff,Apple of My Eye,038512483X,11,Bantam Doubleday Dell Pub (T),1978
Helene Hanff,Apple of My Eye,0918825733,13,Moyer Bell Ltd.,1989
Helene K. Joy,A Heroine's Journey,0806227826,11,Wholly Life Center,1989
Helga Fritzsche,"Bantams: Husbandry and Care, Diseases, and Breeding With a Special Chapter on Understanding Bantams",0812036875,11,Barron's Educational Series,1986
Hellmuth Karasek,Betrug. Roman.,3548254993,11,Ullstein Tb,2002
Hellmuth Karasek,Billy Wilder. Eine Nahaufnahme.,3453072014,11,Heyne,2002
Helmut Kopka,A Guide to LATEX: Document Preparation for Beginners and Advanced Users (2nd Edition),020142777X,10,Addison-Wesley Pub Co,1995
Helmut Newton,Big Nudes,0937950025,9,Xavier Moreau Incorporated,1982
Helmut Pinter,African Grey Parrots...Getting Started (Save-Our-Planet Book),0793800935,10,TFH Publications,1994
Helmut Schmidt,Auf der Suche nach einer Ã¶ffentlichen Moral: Deutschland vor dem neuen Jahrhundert,342105150X,10,Deutsche Verlags-Anstalt,1998
Helmut Thielicke,Between Heaven and Earth,0227677269,10,James Clarke  Co Ltd,1968
Helmuth Herman,A Laboratory Manual in Physical Anthropology,1551301350,10,Canadian Scholars Press,1998
Heloise,All-New Hints from Heloise: A Household Guide for the '90s,0399515100,11,Perigee Books,2004
"Hendrie, Phd Weisinger",Anger at Work: Learning the Art of Anger Management on the Job,068814764X,13,Quill,1996
Hendrik Rehrer,Back to the Light. Zur Aktion Kinderfreundliches Deutschland.,3000077227,10,Polar Price Verlags- U. Aktionshaus,2002
Heng Liu,Black Snow,0802133894,13,Grove Press,1994
Henk Schiffmacher,1000 Tattoos (Klotz),3822819794,10,Taschen,2002
Henning Mankell,Asesinos Sin Rostro,8483101599,8,Tusquets,2002
Henning Rischbieter,Art and the stage in the 20th century;: Painters and sculptors work for the theater,0821203525,12,New York Graphic Society,1968
Henri De LA Barbe,Advanced French for Exceptional Cats,0679417648,12,Random House Inc,1992
Henri Gault,Best of France,051755402X,13,Random House Value Pub,1988
Henri J. M. Nouwen,A Cry for Mercy: Prayers from the Genesee,0385175086,10,Galilee Book,1983
Henri J. M. Nouwen,Adam: God's Beloved,1570751331,9,Orbis Books,1997
Henri J.M. Nouwen,Aging,0385009186,9,Image,1976
Henri Michaux,"Ailleurs : Voyage en Grande Garabagne - Au pays de la Magie - Ici, Poddema",2070323625,12,Gallimard,1986
Henri Raynal,A Los Pies De Omphalos,8472233065,11,Spanish Language Book Services Inc,2002
"Henri, Dorra",Art in Perspective,0155034758,9,Thomson Learning,1973
Henrietta Bancroft,Animals in Winter (Let's-Read-and-Find-Out Science 1),0064451658,10,HarperTrophy,1997
Henrietta Soames,At the Hall (Ulverscroft Large Print Series),0708935273,10,Ulverscroft Large Print,1996
Henrik Ibsen,A Doll's House,0486270629,9,Dover Publications,1992
Henrik Ibsen,A Doll's House : A New Version by Frank McGuinness,0571191290,11,Faber  Faber,1997
Henrik Ibsen,A Doll's House and Other Plays,0140441468,9,Penguin Books,1965
Henrik Ibsen,An Enemy of the People (Dover Thrift Editions),0486406571,11,Dover Publications,1999
Henrik Ibsen,"An Enemy of the People, the Wild Duck, Rosersholm (Worlds Classic)",019281818X,9,Oxford University Press,1988
Henrik Ibsen,Arthur Miller's Adaptation of an Enemy of the People (Penguin Plays),0140481400,12,Penguin Books,1977
Henrik Johan Ibsen,"A Doll's House, The Lady from the Sea, and The Wild Duck (Everyman",0460872931,12,Tuttle Publishing,1993
Henry Alford,Big Kiss: One Actor's Desperate Attempt to Claw His Way to the Middle,0767907418,10,Broadway Books,2001
Henry Bamford Parkes,A History of Mexico,0395084105,11,Houghton Mifflin Company,1972
Henry Beard,Bill Gates' Personal Super Secret Private Laptop A Microspoof,0684854643,9,Simon  Schuster,1998
Henry Blake Fuller,Bertram Cope's Year,1885983263,10,Turtle Point Press,1998
Henry Blanc,"A Narrative of Captivity in Abyssinia, 1868: With Some Account of the Late Emperor Theodore (Cass Library of African Studies. Travels and Narratives,)",071461792X,12,Frank Cass Publishers,2001
Henry Cloud,Boundaries,0310247454,12,Zondervan Publishing Company,2002
Henry Cloud,Boundaries in Dating,0310200342,10,Zondervan Publishing Company,2000
Henry Corbin,Avicena y El Relato Visionario,8449301513,12,Ediciones Paidos Iberica,1998
HENRY DAVID THOREAU,"\ Civil Disobedience\"" and \""Reading\"" (Penguin Classics 60s)""",0146001958,10,Penguin,1995
Henry Denker,ACTRESS,0671819585,12,Pocket,1979
Henry Fielding,A Journey from This World to the Next: The Journal of a Voyage to Lisbon (World's Classics),0192823345,12,Oxford Univ Pr,1997
Henry Fowler,A Dictionary of Modern English Usage (Oxford Language Classics Series),0198605064,10,Oxford University Press,2003
Henry Gray,Anatomy Descriptive and Surgical,051753035X,11,Crown Publishing Group (NY),1977
Henry Grunwald,"A Saint, More or Less : A Novel",1400061490,11,Random House,2003
Henry H. Bashford,"Augustus Carp, Esq: By Himself",0140098577,8,Penguin USA,1988
Henry Han,"Ancient Herbs, Modern Medicine: Improving Your Health by Combining Chinese Herbal Medicine and Western Medicine",0553381180,10,Bantam,2003
Henry Herman Evans,Botanical prints with excerpts from the artist's notebooks,0716701928,12,Freeman,1977
Henry Horenstein,Black and White Photography: A Basic Manual,0316373141,10,"Little, Brown",1983
Henry Horrock,Blood Red,0786014318,12,Pinnacle Books,2001
Henry James,Ambassadors (Airmont),0804900957,9,Airmont Pub Co,1985
Henry James,Ambassadors (Classics Library (NTC)),1853260347,12,NTC/Contemporary Publishing Company,1999
Henry L. Black,Black's Law Dictionary (Black's Law Dictionary),031476271X,11,West Information Pub Group,1991
Henry M. Robert,21st Century Robert's Rules of Order (21st Century Reference),0440217229,8,Laurel Editions,1995
Henry M. Sayre,A World of Art with CD-ROM (4th Edition),0130474800,10,Prentice Hall,2002
Henry Mayer,A Son of Thunder: Patrick Henry and the American Republic,0802138152,11,Grove Press,2001
Henry Miller,A Devil in Paradise (The New Directions Bibelots),0811212440,12,New Directions Publishing Corporation,1993
Henry Miller,"Big Sur and the Oranges of Hieronymus Bosch (New Directions Paperbook, 161)",0811201074,10,New Directions Publishing Corporation,1957
Henry Miller,Black Spring,0802131824,11,Grove Press,1989
Henry Miller,Black Spring,9997648161,10,Bookthrift Co,1973
Henry Mullish,Basic Approach to Structured BASIC,047162375X,9,John Wiley  Sons Inc,1976
Henry Petroski,Beyond Engineering: Essays and Other Attempts to Figure Without Equations,0312077858,10,St Martins Pr,1986
Henry Porter,A Spy's Life,0752848062,11,Orion mass market paperback,2002
Henry Porter,A Spy's Life : A Novel,0743215605,11,Simon  Schuster,2002
Henry Reed,Awakening Your Psychic Powers : Open Your Inner Mind And Control Your Psychic Intuition Today,0312958684,10,St. Martin's Paperbacks,1996
Henry S. Commager,Blue and the Gray: The Story of the Civil War as Told by Participants,0517383799,12,Random House Value Publishing,1988
Henry Strutz,501 German Verbs,0764102842,12,Barron's Educational Series,1998
Henry Strutz,501 German verbs fully conjugated in all the tenses: Alphabetically arranged,0812004345,11,Barron's Educational Series,1982
Henry Thomas,Better English Made Easy,0446311901,11,Warner Books,1983
Henry W. Simon,100 Great Operas and Their Stories,0385054483,12,Doubleday Books,1989
Henry Wade,A Dying Fall,0060805439,12,Harpercollins,1981
Henry Watson Fowler,A Dictionary of Modern English Usage (The Oxford Library of English Usage ; V. 2),0198691157,9,Oxford University Press,1987
Henry Wiencek,"An Imperfect God: George Washington, His Slaves, and the Creation of America",0374175268,11,"Farrar, Straus and Giroux",2003
"Henry, Dr. Cloud",Boundaries,0310585902,8,Zondervan Publishing Company,1992
"Henry, Dr. Cloud",Boundaries with Kids,0310243157,8,Zondervan Publishing Company,2001
Herb Boyd,Autobiography of a People: Three Centuries of African American History Told by Those Who Lived It,0385492782,9,Doubleday Books,2000
Herb Boyd,Autobiography of a People: Three Centuries of African American History Told by Those Who Lived It,0385492790,11,Anchor Books/Doubleday,2000
Herb Moore,Atari Sound and Graphics (Self-teaching Guides),0471095931,11,John Wiley  Sons Inc,1982
Herb Payson,Blown Away,0924486953,8,Sheridan House,1995
Herb Schildt,ANSI C Made Easy,0078815002,13,McGraw-Hill Osborne Media,1989
Herbert Becker,Big Dry.,3426619393,8,Droemer Knaur,2001
Herbert Burkholz,Brain Damage,0689120095,13,Simon  Schuster,1992
Herbert Crowder,Ambush at Osirak,0515099325,9,Jove Books,1989
Herbert Crowder,Ambush at Osirak: A Novel,0891413219,9,Natl Book Network,1988
Herbert Friedman,Amazing Universe,0870441795,12,National Geographic Society,1975
Herbert Friedman,"Astronomer's Universe: Stars, Galaxies and Cosmos",0345372484,12,Ballantine Books,1991
Herbert Gold,Best Nightmare on Earth: A Life in Haiti (A Destinations Book),0671755161,10,Simon  Schuster,1992
Herbert Gold,"Bohemia: Where Art, Angst, Love, and Strong Coffee Meet",067176781X,9,Simon  Schuster,1993
Herbert Kavet,Bedtime Stories for Your Doggie,0880324422,9,Ivory Tower Publishing Company,1994
Herbert Kawainui Kane,Ancient Hawaii,0943357020,12,Kawainui Press,1998
Herbert Keppler,Asahi Pentax Way,0240510186,8,Focal Press,1979
Herbert Kohl,"\I Won't Learn from You\"": And Other Thoughts on Creative Maladjustment""",1565840968,8,New Press,1995
Herbert Kohl,36 Children,0452264634,9,Plume Books,1990
Herbert Lockyer,All the Apostles of the Bible,0720802180,9,Zondervan,1972
Herbert Lockyer,All the Kings and Queens of the Bible: The Life and Times of Biblical Royalty/Pbn 10062 (All the Kings & Queens of the Bible),0310280702,11,Zondervan Publishing Company,1986
Herbert Lockyer,All the Parables of the Bible (All),0310281113,10,Zondervan Publishing Company,1988
Herbert Lockyer,All the Women of the Bible,0310281512,11,Zondervan Publishing Company,1988
Herbert R Lottman,Albert Camus: A biography,0385116640,12,Doubleday,1979
Herbert R. Kohl,A Grain of Poetry: How to Read Contemporary Poems and Make Them a Part of Your Life,0060187832,9,HarperCollins Publishers,1999
Herbert Rosendorfer,"Ballmanns Leiden, oder, Lehrbuch fÃ¼r Konkursrecht: Roman",3485004081,12,Nymphenburger,1981
Herbert S. Klein,African Slavery in Latin America and the Caribbean,019503838X,9,Oxford University Press,1988
Herbert S. Zim,Birds (Golden Guides),0307240533,10,St Martins Pr,1987
Herbert V. Prochnow,"A Funny Thing Happened on the Way to the Podium : The Speaker's Complete Guide to More Than 2,000 Great Jokes, Anecdotes, and Stories",051720651X,8,Random House Value Pub,2000
Herbert Wise,Attention to Detail,0825631718,9,Music Sales Corp,1979
"Herbert, Dr. Benson",Beyond the Relaxation Response: How to Harness the Healing Power of Your Personal Beliefs,0425081834,13,Berkley Publishing Group,1994
Herbie J. Pilato,Bewitched Forever: The Immortal Companion to Television's Most Magical Supernatural Situation Comedy,1565302257,11,Summit Publishing Group,1996
Herbie J. Pilato,Bewitched Forever: The Immortal Companion to Television's Most Magical Supernatural Situation Comedy,1930819072,11,Tapestry Press,2001
Herman Aihara,Acid and Alkaline,091886044X,10,George Ohsawa Macrobiotic Foundation,1986
Herman Gewirtz,Barron's How to Prepare for the Sat II: Physics (Barron's How to Prepare for the Sat II. Physics),0764104829,11,Barron's Educational Series,1999
Herman H Riffel,"A living, loving way;: Christian maturity and the Spirit's power",0871230593,9,Bethany Fellowship,1973
Herman I Neuman,"Bastards, Bitches, and Heroes: A Memoir",0595125379,10,Writer's Showcase Press,2001
Herman J. Viola,After Columbus: The Horse's Return to America (Smithsonian Wil Heritage Collection),092448361X,9,Soundprints,1992
Herman Melville,Bartleby (Penguin 60s S.),0146000129,11,Penguin Books Ltd,1995
Herman Melville,Bartleby and Benito Cereno (Dover Thrift Editions),0486264734,13,Dover Publications,1990
Herman Melville,Bartleby le scribe,2070401405,13,Gallimard,1996
Herman Melville,Bartleby y Otros Cuentos,9507398457,11,AIMS International Books,2000
Herman Melville,Billy Budd,0451517148,13,Signet Book,1982
Herman Melville,Billy Budd,0671648470,9,Washington Square Press,1981
Herman Melville,Billy Budd,0671731440,12,Pocket,1990
Herman Melville,Billy Budd & Other Stories,185326749X,10,Lb May  Assoc Inc,1999
Herman Melville,Billy Budd (Ages 4-12),0883013851,12,Amer Guidance Service,1979
Herman Melville,Billy Budd (Tor Classics),0812504267,12,Aerie,1992
Herman Melville,Billy Budd and Other Stories (Penguin Classics),0140390537,11,Penguin Books,1989
Herman Melville,Billy Budd and Other Tales,0451526872,12,Signet Book,1998
Herman Melville,Billy Budd and Other Tales (Signet Classic),0451524462,10,Signet Classics,1988
Herman Melville,Billy Budd and Typee (Cliffs Notes),0822002388,9,Cliffs Notes,1968
Herman Melville,Billy Budd Sailor and Other Stories,0553210947,8,Bantam,1982
Herman Melville,Billy Budd Sailor and Other Stories (Bantam Classic),0553212745,10,Bantam,1982
Herman Melville,"Billy Budd, Marinero",8481300578,8,Unidad Editorial,2001
Herman Melville,"Billy Budd, Sailor (An Inside Narrative Reading Text and Genetic Text)",0226321320,12,University of Chicago Press,1962
Herman Melville,Billy Budd: Sailor & Other Stories (English Library),0140430296,12,Penguin USA,1968
Herman Parish,Amelia Bedelia 4 Mayor (I Can Read Book 2),0064443094,8,HarperTrophy,2001
Herman Parish,"Bravo, Amelia Bedelia! (Amelia Bedelia (Paperback))",0380732157,11,Avon Books,1999
Herman Slater,A Book of Pagan Rituals (Book of Pagan Rituals),0877283486,10,Weiser Books,1978
Herman Wouk,A Hole in Texas: A Novel,0316525901,11,"Little, Brown",2004
Hermann Hesse,Bajo las ruedas,8420633402,13,Alianza,1967
Hermann Hesse,Beneath the Wheel,031242230X,9,Picador USA,2003
Hermann Hesse,Beneath the Wheel,0374507481,12,Farrar Straus Giroux,1988
Hermann Hesse,Beneath the Wheel,055323837x,13,Bantam Books (Mm),1983
Heron House,Book of Numbers,0894790285,9,A  W Pub,1978
Hershel Shanks,Ancient Israel: A Short History from Abraham to the Roman Destruction of the Temple,0130364355,13,Prentice Hall,1988
Hertha Ernestine Pauli,Bernadette: Our Lady's Little Servant,0898707609,9,Ignatius Press,1999
HervÃ© Bazin,"\Un Feu dÃ©vore un autre feu\"": Roman""",2020049570,9,Ã?ditions du Seuil,1978
Herve Gulbert,A L'Ami Qui Ne M'a Pas Sauve Lavie,2070385035,13,Distribooks Inc,1999
Hervey Allen,Bedford Village,0446814369,12,Warner Books,1978
Hesketh Pearson,Arthur Conan Doyle: A Life,9626347422,12,Naxos Audiobooks Ltd.,2001
HESTER HILL LICSW SCHNIPPER,After Breast Cancer : A Common-Sense Guide to Life After Treatment,0553381628,10,Bantam,2003
Hester Mundis,101 Ways to Avoid Reincarnation: Or Getting It Right the First Time,0894803832,12,Workman Publishing,1989
Hiawyn Oram,Angry Arthur (Sunburst Book),0374403864,13,Farrar Straus Giroux,1997
Hilari Bell,A Matter of Profit,0064473007,12,Eos,2003
Hilary Bailey,After the Cabaret,0751522791,9,Little Brown UK Ltd,1999
Hilary Bailey,All the Days of My Life,0394544463,12,Random House Inc,1985
Hilary Bailey,All the Days of My Life,0449131548,9,Fawcett Books,1986
Hilary Bradt,Backpacking in Mexico and Central America,0950579785,12,Bradt Enterprises,1982
Hilary Kingsley,"\Casualty\"" (BBC Books)""",0140249028,13,Penguin Books Ltd,1995
Hilary Mantel,A Change of Climate,0805052054,8,Owl Books (NY),1997
Hilary Mantel,A Change of Climate : A Novel,0312422881,13,Picador,2003
Hilary Mantel,A Place of Greater Safety,0805052046,9,Henry Holt  Company,1998
Hilary Mantel,An Experiment in Love,0805044272,10,Henry Holt  Co,1996
